"period","company_code","total_market_cap_yi","float_market_cap_yi","turnover_amount_yi","turnover_rate","pe","pb"
"2022-12","920571.BJ",37.9556,15.6401,8.9812,0.026102,85.8832,1.9767
"2023-12","920571.BJ",40.538,16.6794,7.0225,0.019138,66.4622,1.2064
"2024-12","920571.BJ",52.7325,21.0142,10.7516,0.023256,62.5339,1.6261
"2025-12","920571.BJ",54.4565,21.4184,11.3551,0.024098,74.4898,1.7113
"2026-06","920571.BJ",56.0843,22.8392,9.997,0.019896,88.2874,2.0355
"2022-12","920111.BJ",41.7099,12.4245,7.2809,0.026637,27.6396,1.6216
"2023-12","920111.BJ",43.9379,12.6159,6.8813,0.024793,27.3405,2.2576
"2024-12","920111.BJ",50.3816,14.6568,6.1164,0.018969,30.3815,3.4799
"2025-12","920111.BJ",60.9301,17.8221,9.8829,0.025206,26.8007,3.9585
"2026-06","920111.BJ",50.9521,16.2553,7.8731,0.022016,23.6613,2.4466
"2022-12","920119.BJ",35.7608,9.9433,5.9398,0.027153,15.7198,2.2233
"2023-12","920119.BJ",36.384,9.3514,6.0088,0.029207,19.5672,1.2845
"2024-12","920119.BJ",43.5668,12.0087,5.7203,0.021652,14.8274,1.3723
"2025-12","920119.BJ",51.8121,13.5564,6.3821,0.021399,18.4487,1.9479
"2026-06","920119.BJ",48.4121,12.3943,6.627,0.024304,17.2074,0.7913
"2022-12","920047.BJ",33.3809,20.3481,9.0811,0.020286,48.2312,1.6822
"2023-12","920047.BJ",37.7153,23.5227,12.0712,0.023326,48.877,2.0127
"2024-12","920047.BJ",43.3025,25.0641,13.963,0.025322,44.1182,2.1484
"2025-12","920047.BJ",46.3871,27.7211,14.3385,0.023511,48.7425,2.3065
"2026-06","920047.BJ",56.7851,35.9972,19.0073,0.024001,33.8041,2.733
"2022-12","920509.BJ",33.7566,11.5721,6.457,0.025363,86.0404,1.7298
"2023-12","920509.BJ",37.761,13.2883,3.9099,0.013374,80.0158,1.5418
"2024-12","920509.BJ",43.3117,15.6106,8.001,0.023297,72.7763,1.8562
"2025-12","920509.BJ",58.8556,20.5308,10.5358,0.023326,83.9668,2.4169
"2026-06","920509.BJ",58.1089,21.6383,10.2445,0.02152,72.8319,2.5823
"2022-12","920402.BJ",32.8634,10.3513,3.2424,0.014238,33.9985,1.55
"2023-12","920402.BJ",38.2977,11.9104,6.0052,0.022918,37.7113,1.1714
"2024-12","920402.BJ",38.4714,11.8565,5.9366,0.022759,37.5983,1.87
"2025-12","920402.BJ",44.8758,13.8319,5.125,0.016842,45.4001,1.3336
"2026-06","920402.BJ",48.2104,15.7147,7.2193,0.020882,38.6695,1.6023
"2022-12","920809.BJ",29.3662,22.266,11.8712,0.024234,33.91,2.6657
"2023-12","920809.BJ",32.5613,24.7716,10.9185,0.020035,31.3178,2.7901
"2024-12","920809.BJ",35.3684,26.4162,15.0706,0.025932,42.5306,1.8352
"2025-12","920809.BJ",48.2628,38.1319,23.9339,0.02853,30.0268,2.6498
"2026-06","920809.BJ",55.2131,41.3987,19.1746,0.021053,41.8581,2.516
"2022-12","920211.BJ",37.8535,8.1264,3.2014,0.017907,83.6081,2.0959
"2023-12","920211.BJ",36.4019,7.9108,3.7459,0.021523,108.0285,1.7241
"2024-12","920211.BJ",49.4139,11.3432,5.1754,0.020739,89.1333,1.9622
"2025-12","920211.BJ",44.9662,9.9061,4.3895,0.020141,105.0156,2.7982
"2026-06","920211.BJ",48.5293,11.1045,5.1896,0.021243,82.61,1.9058
"2022-12","920239.BJ",22.3902,8.3459,3.8467,0.02095,15.7371,1.7503
"2023-12","920239.BJ",28.6091,10.5246,5.8012,0.025055,14.7666,1.4363
"2024-12","920239.BJ",39.1725,14.6199,6.4508,0.020056,18.3038,1.1916
"2025-12","920239.BJ",40.5698,16.049,6.8712,0.019461,14.0931,2.3511
"2026-06","920239.BJ",47.1503,17.5948,9.1398,0.023612,17.3712,2.5424
"2022-12","920100.BJ",28.7621,7.3507,4.3241,0.026739,128.5007,0.35
"2023-12","920100.BJ",33.0509,9.0517,4.0859,0.020518,141.5336,0.35
"2024-12","920100.BJ",40.5249,10.1528,5.3011,0.023733,148.316,0.5437
"2025-12","920100.BJ",42.6677,11.1373,6.0855,0.024837,152.1236,0.35
"2026-06","920100.BJ",43.9003,11.2281,5.8119,0.023528,125.244,0.35
"2022-12","920491.BJ",22.9975,18.374,8.7418,0.021626,80.8142,0.35
"2023-12","920491.BJ",27.7076,22.3205,14.0781,0.028669,61.956,1.2841
"2024-12","920491.BJ",39.7005,30.2978,13.5892,0.020387,77.5754,1.5977
"2025-12","920491.BJ",41.852,31.0654,12.6647,0.018531,103.3724,1.0668
"2026-06","920491.BJ",47.2713,34.2932,21.613,0.028647,42.4758,1.7285
"2022-12","920181.BJ",19.5736,4.5236,2.1544,0.021648,66.1493,0.35
"2023-12","920181.BJ",28.7346,6.6722,3.489,0.023769,41.0117,2.2881
"2024-12","920181.BJ",30.6038,7.206,2.9151,0.018388,53.1204,0.6448
"2025-12","920181.BJ",45.145,10.3699,3.4715,0.015217,75.9564,0.9308
"2026-06","920181.BJ",40.4252,9.835,6.417,0.029657,101.6888,0.3787
"2022-12","920060.BJ",26.247,13.1873,5.6474,0.019466,53.8809,0.35
"2023-12","920060.BJ",38.4348,18.3067,10.4504,0.025948,60.5111,0.35
"2024-12","920060.BJ",43.2407,21.5747,8.6165,0.018154,41.8099,0.35
"2025-12","920060.BJ",40.2223,20.399,12.3651,0.027553,72.9065,0.35
"2026-06","920060.BJ",50.635,23.8339,10.7277,0.020459,71.9274,0.35
"2022-12","920139.BJ",25.4783,13.739,5.6066,0.018549,39.1647,2.1442
"2023-12","920139.BJ",36.5749,19.832,9.4304,0.021614,43.1309,2.0319
"2024-12","920139.BJ",39.6237,20.9875,9.803,0.021231,36.1604,1.8923
"2025-12","920139.BJ",46.7378,24.3218,12.0617,0.022542,44.9355,2.743
"2026-06","920139.BJ",44.6426,24.7202,11.6218,0.02137,46.2382,2.0285
"2022-12","920971.BJ",28.5368,12.3003,7.2674,0.026856,82.5629,1.9414
"2023-12","920971.BJ",35.3709,14.122,7.2517,0.023341,110.745,1.9671
"2024-12","920971.BJ",34.4497,15.0637,9.4397,0.028484,130.4079,2.3597
"2025-12","920971.BJ",48.1725,19.6773,9.2476,0.021362,116.1418,1.8334
"2026-06","920971.BJ",45.3343,18.752,9.9836,0.0242,94.4092,1.8654
"2022-12","920019.BJ",21.1873,5.7728,2.4579,0.019354,145.8258,0.4125
"2023-12","920019.BJ",25.2923,7.378,2.8811,0.01775,112.6439,2.3865
"2024-12","920019.BJ",32.3367,8.769,4.48,0.023222,145.0731,0.5913
"2025-12","920019.BJ",40.6197,11.219,5.2805,0.021394,114.5953,2.1688
"2026-06","920019.BJ",41.74,11.5375,3.6718,0.014466,143.4447,1.3827
"2022-12","920200.BJ",27.8374,12.2071,4.9629,0.01848,23.2762,1.6869
"2023-12","920200.BJ",29.6903,13.3302,4.6617,0.015896,40.9329,1.2127
"2024-12","920200.BJ",34.7525,15.2594,6.594,0.019642,24.5402,1.5096
"2025-12","920200.BJ",39.7879,16.4631,9.1955,0.025389,29.7501,1.158
"2026-06","920200.BJ",39.0736,16.2422,8.2518,0.023093,25.8845,0.35
"2022-12","920220.BJ",22.6063,4.8978,2.3506,0.021815,32.2677,1.157
"2023-12","920220.BJ",28.2086,6.2814,3.068,0.022201,32.9644,0.7389
"2024-12","920220.BJ",37.1548,7.9432,4.227,0.024189,36.0642,1.4792
"2025-12","920220.BJ",43.9566,9.3532,4.7259,0.022967,36.4266,2.5915
"2026-06","920220.BJ",45.1531,9.6221,3.7998,0.01795,35.5567,1.1395
"2022-12","920978.BJ",24.5977,13.5645,6.8902,0.023089,20.3474,1.9367
"2023-12","920978.BJ",26.4182,13.9441,6.5066,0.02121,22.7796,1.4388
"2024-12","920978.BJ",35.1643,19.0739,10.0677,0.023992,20.0898,1.6696
"2025-12","920978.BJ",40.5134,21.9342,12.9861,0.026911,47.6488,1.1625
"2026-06","920978.BJ",36.314,19.5631,9.163,0.02129,36.6666,0.7664
"2022-12","920261.BJ",23.147,8.5694,3.8477,0.020409,22.9194,2.1351
"2023-12","920261.BJ",29.1844,9.7755,4.7985,0.022312,23.9904,1.938
"2024-12","920261.BJ",31.2294,10.9334,3.1693,0.013176,21.1509,2.2441
"2025-12","920261.BJ",38.9543,13.6111,5.4337,0.018146,16.5858,2.4274
"2026-06","920261.BJ",37.2082,13.3551,6.5644,0.022342,23.9735,1.5075
"2022-12","920002.BJ",27.0452,11.8163,6.0798,0.023388,80.3731,1.8465
"2023-12","920002.BJ",31.9278,13.4503,7.2013,0.024336,53.0926,2.9514
"2024-12","920002.BJ",35.0606,14.6421,5.9411,0.018444,78.1572,2.6785
"2025-12","920002.BJ",35.2266,15.2793,6.4409,0.019161,54.5212,3.0678
"2026-06","920002.BJ",34.7058,15.0979,6.3999,0.019268,65.1612,3.5875
"2022-12","920096.BJ",27.816,6.6266,3.2755,0.022468,66.7056,1.9139
"2023-12","920096.BJ",33.4721,7.9882,5.3395,0.030383,46.7397,1.6344
"2024-12","920096.BJ",33.7005,7.9194,4.5725,0.026245,51.0496,1.3487
"2025-12","920096.BJ",42.032,9.7254,5.0255,0.023488,45.4209,1.8809
"2026-06","920096.BJ",40.1524,8.8566,3.7335,0.019162,50.4576,1.7932
"2022-12","920946.BJ",21.1041,5.5542,2.3579,0.019297,29.6854,1.7789
"2023-12","920946.BJ",28.9252,7.7952,3.8332,0.022352,29.5981,1.898
"2024-12","920946.BJ",34.841,9.505,4.1799,0.019989,21.6679,1.8378
"2025-12","920946.BJ",39.5854,10.6893,3.65,0.015521,24.8249,2.7732
"2026-06","920946.BJ",36.5369,9.5196,4.4731,0.021358,23.5043,1.6396
"2022-12","920078.BJ",20.7875,4.7257,2.2381,0.021527,41.5191,1.3062
"2023-12","920078.BJ",25.5622,5.5596,1.6325,0.013347,56.9215,0.6476
"2024-12","920078.BJ",31.1922,6.805,3.2828,0.021928,37.8873,0.8926
"2025-12","920078.BJ",37.018,7.9655,3.0468,0.017386,71.0516,1.047
"2026-06","920078.BJ",35.069,7.8503,3.3935,0.019649,102.6795,1.1356
"2022-12","920510.BJ",18.772,6.6543,3.4159,0.023333,32.5925,2.6218
"2023-12","920510.BJ",27.3493,9.5213,5.58,0.026639,32.003,2.4349
"2024-12","920510.BJ",32.3138,10.7809,5.235,0.022072,32.6713,2.3823
"2025-12","920510.BJ",35.8602,11.8083,6.2675,0.024126,49.3488,1.9016
"2026-06","920510.BJ",35.0077,12.3475,5.7218,0.021064,39.0645,2.2093
"2022-12","920961.BJ",26.4221,15.4136,6.8479,0.020194,40.7366,0.525
"2023-12","920961.BJ",29.8876,17.5487,9.4357,0.02444,67.7063,1.1965
"2024-12","920961.BJ",29.033,15.9072,8.8727,0.025353,59.9862,0.6984
"2025-12","920961.BJ",38.7813,21.0013,7.8266,0.01694,64.0492,0.8556
"2026-06","920961.BJ",34.4204,19.6817,8.373,0.019337,41.8529,1.646
"2022-12","920249.BJ",21.2849,6.3978,2.3931,0.017002,77.8304,1.6434
"2023-12","920249.BJ",25.9941,7.7392,3.2735,0.019226,84.7846,1.5569
"2024-12","920249.BJ",29.0517,8.7852,3.6183,0.018721,55.135,1.0262
"2025-12","920249.BJ",38.7542,10.8187,4.3706,0.018363,73.6497,2.0748
"2026-06","920249.BJ",32.8482,10.1079,4.1461,0.018644,78.7103,1.5612
"2022-12","920418.BJ",22.2741,11.9345,5.8524,0.02229,20.9975,2.1838
"2023-12","920418.BJ",24.3382,12.5952,6.8959,0.024887,22.2111,3.5176
"2024-12","920418.BJ",28.6164,14.6158,8.1501,0.025347,26.8445,2.4817
"2025-12","920418.BJ",30.596,17.1662,7.4693,0.019778,27.49,2.1191
"2026-06","920418.BJ",37.4723,20.7275,8.4388,0.018506,26.9052,2.6677
"2022-12","920012.BJ",20.7986,8.4809,2.888,0.015478,45.5065,3.267
"2023-12","920012.BJ",27.5172,10.5064,3.6111,0.015623,56.2817,1.7118
"2024-12","920012.BJ",28.5868,11.7955,6.7491,0.026008,43.0399,2.1758
"2025-12","920012.BJ",30.6821,12.5394,8.2295,0.029831,43.3844,2.4216
"2026-06","920012.BJ",35.132,14.1974,7.6228,0.024405,49.7655,2.3254
"2022-12","920819.BJ",26.0987,10.0849,4.4666,0.020132,36.9805,2.1444
"2023-12","920819.BJ",32.2966,11.9637,5.7069,0.021683,29.8493,2.9928
"2024-12","920819.BJ",33.1886,12.6457,5.7975,0.020839,39.703,2.3883
"2025-12","920819.BJ",35.4839,13.6959,6.5015,0.021577,37.9365,2.8525
"2026-06","920819.BJ",31.9135,12.3371,5.3133,0.019576,45.7908,1.9293
"2022-12","920699.BJ",16.7734,4.6126,2.1012,0.020706,50.669,1.8244
"2023-12","920699.BJ",23.4691,6.8047,2.8548,0.01907,73.4381,2.4024
"2024-12","920699.BJ",29.0828,7.6262,3.5338,0.021063,72.9637,1.8112
"2025-12","920699.BJ",31.8135,9.0711,3.867,0.019377,53.4545,1.9486
"2026-06","920699.BJ",35.9784,10.2438,4.9676,0.022043,69.0937,1.5316
"2022-12","920088.BJ",23.924,8.6188,3.8323,0.020211,64.0921,1.898
"2023-12","920088.BJ",30.571,10.6394,4.2632,0.018214,59.1752,1.6529
"2024-12","920088.BJ",29.0128,9.7178,4.1952,0.019623,64.5086,0.6088
"2025-12","920088.BJ",38.4151,13.209,4.2599,0.014659,66.4935,3.1596
"2026-06","920088.BJ",33.1055,11.1755,4.7491,0.019316,62.3572,0.7511
"2022-12","920020.BJ",20.8275,5.4504,2.1356,0.017811,14.2781,1.3048
"2023-12","920020.BJ",20.7514,5.3649,2.1313,0.018058,19.6456,1.5639
"2024-12","920020.BJ",28.8427,6.7552,2.1507,0.014472,20.395,0.968
"2025-12","920020.BJ",28.7041,6.7743,3.3009,0.022149,21.5118,1.5618
"2026-06","920020.BJ",36.2093,8.5108,3.8462,0.020542,14.1824,1.6491
"2022-12","920009.BJ",18.0338,3.8457,1.6687,0.019724,39.7431,2.5532
"2023-12","920009.BJ",19.8558,4.3091,1.873,0.019758,41.4863,3.437
"2024-12","920009.BJ",28.8919,6.1839,3.5516,0.026106,32.0567,2.273
"2025-12","920009.BJ",31.426,6.57,2.7108,0.018755,38.7601,3.7027
"2026-06","920009.BJ",31.2411,6.474,2.8609,0.020087,42.5801,3.1385
"2022-12","920839.BJ",20.7699,5.4962,2.5129,0.020783,21.1125,3.1607
"2023-12","920839.BJ",21.3858,5.9326,2.8849,0.022104,30.2433,2.6077
"2024-12","920839.BJ",25.3528,7.1853,3.9273,0.024844,29.2048,1.6232
"2025-12","920839.BJ",29.2572,7.6463,2.824,0.016788,23.2005,2.1927
"2026-06","920839.BJ",32.9272,8.9833,3.685,0.018646,20.7177,1.8766
"2022-12","920247.BJ",23.6485,7.2692,2.149,0.013437,81.0772,2.5015
"2023-12","920247.BJ",27.6872,8.1432,3.0531,0.017042,52.8927,1.9168
"2024-12","920247.BJ",31.5979,9.1845,3.5358,0.017499,71.1797,2.9024
"2025-12","920247.BJ",29.6667,8.8475,3.5793,0.018389,58.2567,1.7472
