"period","company_code","revenue_yi","net_profit_yi","deduct_net_profit_yi","roe","gross_margin","net_margin","operating_cashflow_yi","r_and_d_expense_yi","r_and_d_ratio"
"2025-12","920186.BJ",85.8528,-1.4451,-1.7336,-0.052908,0.338852,-0.016833,-2.5402,6.4411,0.075025
"2026-06","920186.BJ",82.6791,-0.1521,-0.7656,-0.019858,0.231848,-0.00184,-0.5531,5.1465,0.062246
"2022-12","920808.BJ",46.2383,2.51,2.5139,0.13098,0.270716,0.054284,2.8867,3.3001,0.071372
"2023-12","920808.BJ",46.0706,5.511,4.0955,0.135779,0.395228,0.11962,6.8738,4.0002,0.086827
"2024-12","920808.BJ",50.0487,3.6065,3.1321,0.152774,0.270619,0.07206,2.0676,4.1556,0.083031
"2025-12","920808.BJ",47.64,2.4129,2.1712,0.094299,0.451294,0.050648,4.6864,4.4253,0.09289
"2026-06","920808.BJ",51.6039,7.2256,6.5131,0.187611,0.219513,0.14002,7.741,5.3544,0.10376
"2022-12","920982.BJ",39.1893,0.577,0.1777,0.006658,0.347705,0.014724,-0.1399,3.8012,0.096996
"2023-12","920982.BJ",38.5305,-1.9162,-1.8746,-0.097563,0.180411,-0.049731,-1.5847,5.1415,0.13344
"2024-12","920982.BJ",42.4946,-0.7557,-1.1326,-0.03193,0.345399,-0.017784,-0.9643,4.9552,0.116607
"2025-12","920982.BJ",46.7496,-0.3172,-0.3624,-0.001103,0.333321,-0.006786,-1.6678,5.8077,0.12423
"2026-06","920982.BJ",46.9837,0.5493,0.1514,0.032084,0.406614,0.011692,1.1333,5.9018,0.125613
"2022-12","920116.BJ",36.3581,3.4718,2.4372,0.091749,0.329685,0.09549,4.2445,2.9526,0.081208
"2023-12","920116.BJ",38.2879,1.7448,1.5037,0.087929,0.293103,0.045572,2.3958,3.6563,0.095496
"2024-12","920116.BJ",49.7784,3.9979,3.2083,0.070567,0.337539,0.080314,3.1089,3.7865,0.076067
"2025-12","920116.BJ",54.4285,5.0795,4.1002,0.1002,0.327464,0.093323,5.2147,5.4113,0.099421
"2026-06","920116.BJ",66.7363,3.711,2.7114,0.087656,0.28566,0.055608,4.0647,4.9307,0.073883
"2022-12","920125.BJ",21.3547,1.5287,1.2869,0.12686,0.177106,0.071588,1.4745,1.585,0.074225
"2023-12","920125.BJ",22.553,2.6614,2.2628,0.207014,0.307275,0.118006,1.8535,1.6787,0.074433
"2024-12","920125.BJ",26.6875,0.8937,0.624,0.019545,0.315251,0.033488,0.1538,2.4059,0.090151
"2025-12","920125.BJ",28.087,1.9475,1.8553,0.175671,0.26307,0.069338,1.7721,2.2435,0.079877
"2026-06","920125.BJ",28.3126,2.1721,1.8911,0.15699,0.332986,0.076719,2.9978,2.6324,0.092978
"2022-12","920077.BJ",46.6448,0.0423,-0.4392,0.036781,0.270316,0.000906,-1.0205,0.3774,0.008092
"2023-12","920077.BJ",41.6781,-2.7195,-2.9673,-0.033576,0.179624,-0.065251,-0.1803,0.4064,0.009751
"2024-12","920077.BJ",43.8171,-1.7272,-1.8038,-0.039847,0.195806,-0.039419,-4.137,0.4258,0.009717
"2025-12","920077.BJ",41.8424,0.0365,0.0229,-0.024313,0.146672,0.000872,-1.3143,0.3116,0.007447
"2026-06","920077.BJ",43.9897,-1.2916,-1.5501,-0.004026,0.199139,-0.029361,-3.6353,0.3335,0.007582
"2022-12","920068.BJ",15.8129,1.3161,0.8926,0.127371,0.123139,0.08323,1.763,1.0421,0.065904
"2023-12","920068.BJ",18.5135,1.1092,0.7954,0.025255,0.3209,0.059913,1.1661,0.9031,0.048779
"2024-12","920068.BJ",23.9367,2.3351,1.6883,0.127706,0.164835,0.097552,2.0986,1.3158,0.054971
"2025-12","920068.BJ",28.105,0.8932,0.7362,0.053509,0.238653,0.03178,1.241,1.6481,0.058642
"2026-06","920068.BJ",31.69,1.5886,0.9534,0.11641,0.114359,0.050129,0.2395,1.5889,0.05014
"2022-12","920394.BJ",36.6395,-2.2107,-2.3197,-0.000838,0.16154,-0.060338,-0.5249,0.1332,0.003636
"2023-12","920394.BJ",37.6294,-2.0047,-1.9459,-0.076704,0.157088,-0.053275,-2.1635,0.1422,0.00378
"2024-12","920394.BJ",41.5713,-0.7549,-0.8718,-0.03738,0.304671,-0.018159,-0.9359,0.1623,0.003903
"2025-12","920394.BJ",39.8448,-2.248,-2.5595,-0.081821,0.248027,-0.056418,-4.7349,0.1326,0.003328
"2026-06","920394.BJ",43.6799,-4.3433,-4.1617,-0.101629,0.248515,-0.099434,-6.2444,0.1775,0.004063
"2022-12","920725.BJ",86.2947,-12.3277,-12.6903,-0.128196,0.24193,-0.142855,-7.0507,2.3479,0.027208
"2023-12","920725.BJ",80.0372,-9.8394,-9.5545,-0.061464,0.221459,-0.122936,-8.5136,2.2665,0.028318
"2024-12","920725.BJ",79.8857,-11.2529,-8.8124,-0.096342,0.351753,-0.140863,-8.7462,1.9342,0.024212
"2025-12","920725.BJ",77.4378,-13.7421,-12.6164,-0.085324,0.328358,-0.177459,-8.2146,2.3514,0.030365
"2026-06","920725.BJ",73.2937,-12.6855,-10.6404,-0.140803,0.133335,-0.173077,-11.4096,1.7188,0.023452
"2022-12","920178.BJ",30.4804,2.7334,2.2752,0.128654,0.260558,0.089678,5.9305,3.2849,0.107772
"2023-12","920178.BJ",35.1729,3.7403,3.5839,0.143261,0.304616,0.10634,3.4478,3.7557,0.106777
"2024-12","920178.BJ",36.3535,1.5453,0.7891,0.078287,0.417423,0.042507,1.3072,3.5339,0.09721
"2025-12","920178.BJ",40.4564,3.5565,3.2279,0.102144,0.214215,0.08791,2.8214,5.0142,0.123941
"2026-06","920178.BJ",43.2554,3.9348,3.0629,0.104656,0.171574,0.090967,3.3186,4.4836,0.103655
"2022-12","920599.BJ",12.0057,0.6893,0.5888,0.103889,0.297567,0.057413,0.8455,1.1907,0.099175
"2023-12","920599.BJ",13.1534,1.3435,1.1168,0.168935,0.381005,0.102141,0.5934,1.4596,0.110967
"2024-12","920599.BJ",14.481,1.4587,1.2895,0.169214,0.299132,0.100733,1.4223,1.5048,0.103918
"2025-12","920599.BJ",15.6484,0.5546,0.4317,0.075244,0.327583,0.035444,0.3923,1.7505,0.111867
"2026-06","920599.BJ",17.0348,1.6465,1.3711,0.169344,0.221777,0.096655,2.4455,1.5868,0.09315
"2022-12","920799.BJ",20.0882,-4.7675,-4.7378,-0.300205,0.168644,-0.23733,-5.9332,1.5675,0.078029
"2023-12","920799.BJ",20.0908,-5.6254,-5.847,-0.32277,0.301123,-0.28,-7.0428,1.5803,0.078658
"2024-12","920799.BJ",22.8293,-4.6154,-4.4091,-0.263495,0.20853,-0.202171,-2.1958,2.015,0.088264
"2025-12","920799.BJ",24.6682,-6.2791,-6.413,-0.281675,0.295037,-0.254542,-6.0406,1.927,0.078115
"2026-06","920799.BJ",25.0624,-5.8865,-6.131,-0.303105,0.281747,-0.234873,-4.1748,2.0297,0.080984
"2022-12","920029.BJ",12.4777,-0.4409,-0.5224,-0.080872,0.286223,-0.035333,0.2315,1.1433,0.091626
"2023-12","920029.BJ",12.8906,-0.6056,-0.6042,-0.106298,0.474688,-0.046983,-1.0413,0.9529,0.073921
"2024-12","920029.BJ",14.3445,-0.215,-0.3277,-0.017639,0.361975,-0.014991,-0.5103,1.0885,0.07588
"2025-12","920029.BJ",14.4956,-0.3049,-0.3495,-0.057506,0.338582,-0.021036,-0.6639,1.065,0.073474
"2026-06","920029.BJ",14.7533,0.0785,-0.0972,0.021668,0.388606,0.005318,-0.2847,1.1111,0.075313
"2022-12","920015.BJ",21.6422,0.8443,0.6312,0.000435,0.226959,0.039012,0.8909,0.4832,0.022326
"2023-12","920015.BJ",22.6078,0.7709,0.6248,0.009121,0.127467,0.0341,0.9934,0.4285,0.018954
"2024-12","920015.BJ",25.9061,0.7283,0.4691,0.016006,0.137446,0.028112,0.8202,0.53,0.020458
"2025-12","920015.BJ",26.3307,1.8822,1.5718,0.088783,0.221935,0.071483,1.2477,0.5971,0.022678
"2026-06","920015.BJ",26.4341,0.4143,0.2511,0.01773,0.144359,0.015674,-0.3794,0.5285,0.019992
"2022-12","920368.BJ",9.9889,-1.4228,-1.5256,-0.170027,0.310467,-0.14244,-1.2199,0.9972,0.099835
"2023-12","920368.BJ",10.6789,-1.5056,-1.2737,-0.203274,0.242897,-0.14099,-2.2914,0.8742,0.08186
"2024-12","920368.BJ",12.5056,-1.8395,-1.7201,-0.159249,0.431425,-0.147092,-1.4628,1.2535,0.100236
"2025-12","920368.BJ",14.4881,-2.1971,-2.1994,-0.225788,0.331424,-0.15165,-3.8004,1.2523,0.086434
"2026-06","920368.BJ",15.7255,-3.1139,-3.1983,-0.286343,0.311289,-0.198015,-3.6876,1.5425,0.098086
"2022-12","920174.BJ",18.9307,2.1006,1.9038,0.089833,0.266499,0.110964,1.823,1.3896,0.073403
"2023-12","920174.BJ",19.6587,1.6271,1.4495,0.087595,0.359162,0.082769,2.2885,1.2518,0.063677
"2024-12","920174.BJ",17.7561,1.8903,1.6065,0.148929,0.458928,0.106459,2.301,1.1469,0.064594
"2025-12","920174.BJ",18.4627,0.8326,0.4636,0.06802,0.30197,0.045095,0.607,1.2193,0.066041
"2026-06","920174.BJ",21.0405,1.3745,1.25,0.050376,0.177878,0.065324,2.3552,1.1805,0.056106
"2022-12","920493.BJ",10.0121,1.5546,1.0957,0.190064,0.403695,0.155272,1.5471,0.8872,0.088613
"2023-12","920493.BJ",11.3606,1.6721,1.6153,0.233073,0.196395,0.147187,1.6907,1.0101,0.088914
"2024-12","920493.BJ",12.5853,1.9007,1.7095,0.221586,0.230638,0.151022,1.1082,1.0479,0.08326
"2025-12","920493.BJ",14.4461,2.5828,2.238,0.273763,0.401387,0.178786,2.7734,1.0476,0.072518
"2026-06","920493.BJ",17.3244,2.3036,1.9315,0.187428,0.338257,0.132968,1.9063,1.434,0.082774
"2022-12","920576.BJ",14.8326,-1.2409,-1.0447,-0.144466,0.136432,-0.083659,-1.618,0.7385,0.049789
"2023-12","920576.BJ",14.8815,-0.6775,-0.7177,-0.042262,0.146988,-0.045528,-0.9724,0.8931,0.060012
"2024-12","920576.BJ",16.4615,-1.1358,-0.8797,-0.074259,0.274008,-0.068995,-1.2968,1.0246,0.062245
"2025-12","920576.BJ",17.2289,-0.6956,-0.5989,-0.023686,0.248558,-0.040372,-0.9763,0.903,0.052409
"2026-06","920576.BJ",19.5328,-1.3984,-1.2666,-0.08975,0.121611,-0.071594,-1.2496,1.2132,0.062108
"2022-12","920179.BJ",14.3042,0.0716,-0.0428,-0.012677,0.07,0.005003,0.2664,0.656,0.045863
"2023-12","920179.BJ",15.6705,0.7603,0.5974,0.017263,0.154055,0.048517,0.4408,0.6107,0.038973
"2024-12","920179.BJ",18.804,0.0842,-0.0111,0.002861,0.224359,0.004475,-0.016,0.7779,0.041367
"2025-12","920179.BJ",20.3628,-0.3997,-0.5218,-0.000125,0.162448,-0.01963,-0.8827,0.9002,0.04421
"2026-06","920179.BJ",25.0272,0.9436,0.7648,0.041016,0.319851,0.037701,0.5337,1.3726,0.054843
"2022-12","920640.BJ",5.9006,0.2077,0.1215,0.080268,0.300921,0.035193,0.1839,0.4739,0.080313
"2023-12","920640.BJ",7.3721,0.144,0.0847,0.025859,0.211546,0.019535,0.2458,0.6066,0.082284
"2024-12","920640.BJ",8.183,-0.164,-0.1622,-0.057296,0.295779,-0.020038,-0.1942,0.6377,0.077925
"2025-12","920640.BJ",10.4028,-0.0477,-0.0709,-0.050793,0.25367,-0.004586,-7e-04,0.771,0.074116
"2026-06","920640.BJ",11.5197,-0.0494,-0.1631,0.020723,0.330156,-0.00429,-0.1492,0.7254,0.062968
"2022-12","920402.BJ",16.3652,0.0949,-0.0522,-0.038323,0.233032,0.0058,-0.8071,0.9251,0.05653
"2023-12","920402.BJ",16.6505,-0.5615,-0.5061,-0.048702,0.220616,-0.033722,-1.3118,0.6886,0.041354
"2024-12","920402.BJ",19.4946,-0.2264,-0.285,-0.080078,0.182701,-0.011615,-1.0953,0.9528,0.048876
"2025-12","920402.BJ",22.7772,-1.1629,-1.1636,-0.092462,0.300489,-0.051057,-0.8108,1.0949,0.048071
"2026-06","920402.BJ",21.8862,-0.8833,-0.9265,-0.081451,0.255435,-0.040359,-0.9995,0.877,0.04007
"2022-12","920522.BJ",40.2497,4.0708,3.3978,0.080325,0.357784,0.101139,2.4487,3.6577,0.090875
"2023-12","920522.BJ",44.4739,6.6216,6.2336,0.114701,0.320614,0.148887,9.1678,4.1341,0.092955
"2024-12","920522.BJ",43.2007,2.7632,2.0139,0.040651,0.311574,0.063962,3.3272,3.7817,0.087537
"2025-12","920522.BJ",48.7782,3.7649,3.0773,0.041594,0.358736,0.077185,1.9818,4.0079,0.082166
"2026-06","920522.BJ",56.1588,5.5347,4.7569,0.067839,0.226227,0.098555,8.0386,5.4043,0.096232
"2022-12","920593.BJ",12.4822,1.1236,0.9041,0.126218,0.24225,0.090015,1.1567,1.6637,0.133283
"2023-12","920593.BJ",13.701,1.1143,1.0237,0.066103,0.397857,0.081327,0.7216,1.4707,0.107341
"2024-12","920593.BJ",14.2338,1.6969,1.61,0.182496,0.178379,0.119217,1.6047,1.8542,0.130267
"2025-12","920593.BJ",17.129,1.875,1.8225,0.180708,0.270354,0.109466,1.7606,1.6145,0.094258
"2026-06","920593.BJ",17.4163,1.4651,1.3503,0.095409,0.308951,0.08412,0.9907,1.7961,0.103128
"2022-12","920119.BJ",8.7975,0.5174,0.436,0.043646,0.263997,0.058817,0.952,0.5423,0.06164
"2023-12","920119.BJ",11.3858,0.18,0.0903,0.020774,0.311784,0.015808,0.397,0.545,0.04787
"2024-12","920119.BJ",14.2514,0.4892,0.3093,0.02072,0.351532,0.034325,0.4571,0.929,0.065184
"2025-12","920119.BJ",17.5603,0.1883,0.1381,-0.03767,0.338856,0.010725,-0.1722,0.9839,0.056031
"2026-06","920119.BJ",20.7012,0.4941,0.311,0.038534,0.267984,0.02387,0.5272,1.3619,0.06579
"2022-12","920047.BJ",8.3805,0.8381,0.6305,0.137158,0.282334,0.100008,0.9848,1.026,0.122428
"2023-12","920047.BJ",10.2325,0.8191,0.7068,0.125178,0.35709,0.080047,0.7857,1.0953,0.107044
"2024-12","920047.BJ",11.467,1.2698,0.9872,0.157362,0.361908,0.110735,0.9188,1.4117,0.123109
"2025-12","920047.BJ",12.7149,0.6581,0.5752,0.066409,0.27873,0.051761,0.6602,1.1006,0.08656
"2026-06","920047.BJ",14.1517,0.608,0.4256,0.052108,0.411914,0.042963,0.8417,1.2831,0.09067
"2022-12","920083.BJ",18.266,0.0377,-0.0012,0.023742,0.113586,0.002063,0.0466,0.5107,0.02796
"2023-12","920083.BJ",18.264,-0.9461,-0.8954,-0.03814,0.158399,-0.0518,0.1134,0.4391,0.02404
"2024-12","920083.BJ",18.6561,-0.7326,-0.7548,-0.061319,0.325369,-0.039271,-0.8701,0.4902,0.026274
"2025-12","920083.BJ",20.6527,-0.2922,-0.3086,0.03352,0.157883,-0.014146,0.3133,0.638,0.030893
"2026-06","920083.BJ",21.0086,-0.8642,-0.8524,-0.053686,0.388755,-0.041136,-0.2237,0.4957,0.023597
"2022-12","920809.BJ",20.0902,2.1916,2.0223,0.176963,0.236784,0.109089,2.3044,1.911,0.095123
"2023-12","920809.BJ",22.4541,2.0433,1.7216,0.101783,0.240636,0.091001,2.3391,1.8863,0.084008
"2024-12","920809.BJ",22.4933,2.3219,2.0358,0.133935,0.283577,0.103228,1.9958,1.6631,0.073937
"2025-12","920809.BJ",21.2774,2.2783,1.5156,0.153443,0.371834,0.107074,2.2224,1.8448,0.086704
"2026-06","920809.BJ",20.5998,2.4566,1.6629,0.173605,0.235324,0.119253,2.1421,1.5915,0.07726
"2022-12","920156.BJ",13.5205,0.8264,0.7002,0.063809,0.169801,0.061121,1.4043,1.2442,0.09202
"2023-12","920156.BJ",14.6734,1.4597,1.1205,0.091965,0.370049,0.099478,0.7961,1.1874,0.080924
"2024-12","920156.BJ",15.4801,0.7639,0.634,0.020343,0.298764,0.049344,1.1813,1.1951,0.0772
"2025-12","920156.BJ",16.6689,1.474,1.196,0.084585,0.305804,0.088427,2.0842,1.4113,0.084668
"2026-06","920156.BJ",19.2638,1.6083,1.2272,0.057834,0.399247,0.083488,1.808,1.9957,0.1036
"2022-12","920037.BJ",12.2455,0.7186,0.6086,0.083078,0.267183,0.058681,0.2961,1.1147,0.091033
"2023-12","920037.BJ",11.6109,0.7764,0.5568,0.123443,0.406133,0.066872,1.0657,1.0829,0.093266
"2024-12","920037.BJ",11.2596,1.5124,1.4078,0.263895,0.272209,0.134323,2.0522,1.3956,0.123946
"2025-12","920037.BJ",12.318,1.4376,1.1209,0.24754,0.263128,0.116707,1.7944,1.289,0.104646
"2026-06","920037.BJ",11.8888,1.0318,1.0211,0.177405,0.300514,0.086784,1.0246,1.3269,0.111613
"2022-12","920111.BJ",21.4942,2.3236,2.024,0.137871,0.266994,0.108102,2.5938,1.9663,0.091478
"2023-12","920111.BJ",22.5773,1.5516,1.0231,0.041758,0.34946,0.068725,1.8772,2.1044,0.093207
"2024-12","920111.BJ",23.4485,1.0883,0.7933,0.020372,0.370751,0.046414,1.8547,2.3391,0.099756
"2025-12","920111.BJ",23.4915,1.5652,1.3939,0.054671,0.258431,0.066628,0.9891,2.4838,0.105733
"2026-06","920111.BJ",24.3724,1.8943,1.6288,0.050204,0.256262,0.077721,1.7388,2.0624,0.08462
"2022-12","920139.BJ",14.2721,1.5515,1.1875,0.129899,0.267182,0.108706,0.9064,1.584,0.110984
"2023-12","920139.BJ",16.4425,1.6145,1.2222,0.129003,0.334514,0.098188,2.3524,1.8006,0.109508
"2024-12","920139.BJ",16.563,1.9376,1.4138,0.109609,0.187332,0.116984,1.4915,1.5864,0.095781
"2025-12","920139.BJ",19.0089,1.9164,1.5825,0.09813,0.404988,0.100816,2.6638,1.8659,0.098158
"2026-06","920139.BJ",19.8173,2.2017,1.4992,0.143676,0.414786,0.111102,1.8379,2.4241,0.12232
"2022-12","920509.BJ",17.0738,1.7461,1.3576,0.083674,0.191464,0.102269,0.6617,0.8481,0.049673
"2023-12","920509.BJ",18.7606,1.6114,1.4834,0.049377,0.286919,0.085895,1.073,1.0246,0.054613
"2024-12","920509.BJ",19.1497,1.2831,1.0277,0.073057,0.382781,0.067002,0.8312,1.0573,0.05521
"2025-12","920509.BJ",20.2199,2.6457,2.1853,0.127416,0.269043,0.130844,3.718,1.2119,0.059935
"2026-06","920509.BJ",23.3316,3.2378,2.8081,0.129634,0.326087,0.138772,4.4278,1.2052,0.051657
"2022-12","920571.BJ",7.3054,0.5627,0.4244,0.148691,0.361108,0.07702,0.388,0.7798,0.106743
"2023-12","920571.BJ",8.3881,0.3586,0.2399,0.060464,0.2718,0.042748,0.2207,1.0489,0.125045
"2024-12","920571.BJ",8.3626,0.9192,0.7316,0.194239,0.358169,0.109922,1.0963,0.804,0.096145
"2025-12","920571.BJ",10.3192,0.5222,0.4656,0.076619,0.350051,0.0506,0.6167,1.0662,0.103321
"2026-06","920571.BJ",10.9506,0.5241,0.4437,0.096443,0.279142,0.047857,0.7986,1.2875,0.11757
"2022-12","920211.BJ",7.0524,1.2396,0.9715,0.237313,0.425223,0.175769,1.4366,0.5849,0.082935
"2023-12","920211.BJ",7.5339,0.9188,0.8049,0.167754,0.349978,0.121953,1.1542,0.6779,0.089981
"2024-12","920211.BJ",9.5329,1.0623,0.833,0.1461,0.328787,0.111432,0.5064,0.9374,0.098339
"2025-12","920211.BJ",12.1878,1.9227,1.4087,0.202836,0.335731,0.157757,2.0513,1.2709,0.104278
"2026-06","920211.BJ",13.5264,1.6707,1.4285,0.166597,0.335446,0.123517,1.1406,1.2012,0.088805
"2022-12","920161.BJ",11.5245,0.9347,0.7674,0.133359,0.248746,0.081105,0.7068,0.8408,0.072961
"2023-12","920161.BJ",11.0797,0.7897,0.6306,0.102352,0.288585,0.071275,0.3015,0.8169,0.07373
"2024-12","920161.BJ",11.6178,0.4412,0.3704,0.077182,0.3325,0.037974,0.4821,0.8899,0.076597
"2025-12","920161.BJ",11.4337,0.8663,0.7158,0.141651,0.153132,0.075766,1.2675,0.7392,0.064651
"2026-06","920161.BJ",12.101,0.7911,0.517,0.087916,0.361949,0.065377,0.2716,0.9764,0.080685
"2022-12","920181.BJ",4.8097,0.2115,0.166,0.06448,0.362876,0.04398,0.0508,0.5402,0.112311
"2023-12","920181.BJ",6.1916,0.3381,0.2224,0.074863,0.234175,0.054608,0.1546,0.6715,0.108456
"2024-12","920181.BJ",7.9172,0.2973,0.2441,0.034002,0.20994,0.037553,0.1343,0.76,0.095993
"2025-12","920181.BJ",10.0705,0.5512,0.4418,0.086739,0.313146,0.05473,0.6733,1.0803,0.107272
"2026-06","920181.BJ",12.3148,0.9525,0.8849,0.15638,0.391484,0.077349,0.3309,1.346,0.109303
"2022-12","920239.BJ",12.465,-1.4698,-1.2657,-0.13052,0.395432,-0.117919,-2.3655,1.518,0.12178
"2023-12","920239.BJ",13.3275,-2.0668,-1.6521,-0.195031,0.314763,-0.15508,-2.1475,1.6591,0.124483
"2024-12","920239.BJ",14.1796,-1.4377,-1.5577,-0.144578,0.249649,-0.101392,-2.3476,1.6237,0.114509
"2025-12","920239.BJ",15.3695,-1.9784,-1.6693,-0.153936,0.339321,-0.128721,-1.8609,1.7136,0.111492
"2026-06","920239.BJ",15.7205,-2.613,-2.3413,-0.186415,0.168633,-0.166218,-1.8955,1.916,0.121879
"2022-12","920249.BJ",17.851,-0.8351,-0.86,-0.055514,0.313898,-0.046785,-0.462,0.2239,0.01254
"2023-12","920249.BJ",19.8366,-0.3003,-0.4274,-0.008525,0.147993,-0.015136,-0.1966,0.2365,0.011925
"2024-12","920249.BJ",22.4815,-1.0143,-0.9962,-0.03285,0.254255,-0.045116,-0.8308,0.254,0.011296
"2025-12","920249.BJ",22.0859,-0.4679,-0.6231,-0.021915,0.186232,-0.021187,0.0567,0.2325,0.010528
"2026-06","920249.BJ",25.7544,0.0542,-0.1002,0.024757,0.232713,0.002103,0.7504,0.3211,0.012469
"2022-12","920971.BJ",2.4763,-0.0937,-0.1185,-0.051749,0.218079,-0.037854,-0.1535,0.2909,0.117474
"2023-12","920971.BJ",3.2538,0.1236,0.1134,0.115344,0.208333,0.037974,0.1533,0.3913,0.120262
"2024-12","920971.BJ",4.3214,-0.0998,-0.1039,-0.048034,0.374059,-0.023102,-0.1284,0.4377,0.101281
"2025-12","920971.BJ",5.6122,-0.1665,-0.1695,-0.072682,0.334968,-0.029666,0.0201,0.5428,0.096727
"2026-06","920971.BJ",6.8412,-0.1626,-0.1597,-0.049385,0.283584,-0.023763,-0.064,0.8896,0.130037
"2022-12","920491.BJ",8.6901,-1.0392,-1.0511,-0.228927,0.345814,-0.119586,-0.5374,0.7276,0.083733
"2023-12","920491.BJ",8.8869,-1.1709,-1.0256,-0.245193,0.26283,-0.131755,-1.201,0.7429,0.083598
"2024-12","920491.BJ",9.176,-1.1247,-1.1422,-0.209854,0.287509,-0.122569,-1.4417,0.6848,0.074628
"2025-12","920491.BJ",9.3935,-1.2829,-1.0578,-0.244752,0.294021,-0.136572,-0.9681,0.6459,0.068763
"2026-06","920491.BJ",10.385,-1.7205,-1.7311,-0.28354,0.290337,-0.165672,-1.5474,0.9505,0.091526
"2022-12","920060.BJ",8.6933,0.7767,0.732,0.094831,0.346812,0.089347,0.4329,0.7213,0.082971
"2023-12","920060.BJ",9.4875,0.7053,0.5303,0.11253,0.265961,0.074345,0.9254,0.6932,0.073062
"2024-12","920060.BJ",10.1374,0.3634,0.194,0.074469,0.206204,0.035845,0.8419,0.9048,0.089254
"2025-12","920060.BJ",10.1064,0.5539,0.4798,0.089366,0.275755,0.054802,0.35,0.7013,0.069393
"2026-06","920060.BJ",12.056,0.8092,0.7594,0.112305,0.371459,0.067121,0.6792,1.1769,0.097622
"2022-12","920078.BJ",14.0953,0.8543,0.6797,0.067842,0.174158,0.060611,0.8773,0.3665,0.026003
"2023-12","920078.BJ",15.313,0.6192,0.2974,0.027449,0.21963,0.040436,1.0494,0.5212,0.034034
"2024-12","920078.BJ",14.9145,0.9071,0.7398,0.062071,0.261863,0.060822,1.2993,0.5528,0.037068
"2025-12","920078.BJ",17.6234,1.136,1.0251,0.075803,0.163448,0.064459,1.0476,0.6538,0.037098
"2026-06","920078.BJ",18.7447,1.4567,1.3757,0.034038,0.258634,0.077712,1.9112,0.6789,0.03622
"2022-12","920946.BJ",3.58,0.162,0.1132,0.013745,0.28101,0.04525,0.1866,0.4336,0.121126
"2023-12","920946.BJ",4.817,0.3916,0.2932,0.162278,0.210848,0.081296,0.2984,0.6474,0.134397
"2024-12","920946.BJ",5.7454,0.1691,0.1397,0.056941,0.33044,0.029441,0.1718,0.6581,0.114541
"2025-12","920946.BJ",7.8021,0.7263,0.6144,0.177958,0.145181,0.093094,0.8606,1.0448,0.133915
"2026-06","920946.BJ",8.9337,0.2234,0.1663,0.087729,0.287104,0.025009,0.0469,0.9276,0.103832
"2022-12","920261.BJ",8.3071,0.038,-0.0393,-0.001246,0.219191,0.004576,-0.1369,0.4041,0.048645
"2023-12","920261.BJ",8.4191,-0.1725,-0.1754,-0.012824,0.17569,-0.020492,-0.2539,0.3975,0.047214
"2024-12","920261.BJ",10.4002,0.1677,0.1454,0.01962,0.357124,0.016123,0.062,0.5507,0.05295
"2025-12","920261.BJ",10.4431,-0.0737,-0.1525,0.013264,0.140941,-0.007062,0.0428,0.6159,0.058975
