"city","longitude","latitude"
"万宁市",110.4,18.8
"东方市",108.63,19.1
"定安县",110.32,19.7
"屯昌县",110.1,19.37
"澄迈县",110,19.73
"临高县",109.68,19.92
"白沙黎族自治县",109.45,19.23
"昌江黎族自治县",109.05,19.25
"乐东黎族自治县",109.17,18.75
"陵水黎族自治县",110.03,18.5
"保亭黎族苗族自治县",109.7,18.63
"琼中黎族苗族自治县",109.83,19.03
"三沙市",112.3,16.8
"成都市",104.07,30.67
"自贡市",104.78,29.35
"攀枝花市",101.72,26.58
"泸州市",105.43,28.87
"德阳市",104.38,31.13
"绵阳市",104.73,31.47
"广元市",105.83,32.43
"遂宁市",105.57,30.52
"内江市",105.05,29.58
"乐山市",103.77,29.57
"南充市",106.08,30.78
"眉山市",103.83,30.05
"宜宾市",104.62,28.77
"广安市",106.63,30.47
"达州市",107.5,31.22
"雅安市",103,29.98
"巴中市",106.77,31.85
"资阳市",104.65,30.12
"阿坝藏族羌族自治州",102.22,31.9
"甘孜藏族自治州",101.97,30.05
"凉山彝族自治州",102.27,27.9
"贵阳市",106.63,26.65
"六盘水市",104.83,26.6
"遵义市",106.92,27.73
"安顺市",105.95,26.25
"铜仁市",109.18,27.72
"毕节市",105.28,27.3
"黔东南苗族侗族自治州",107.97,26.58
"黔南布依族苗族自治州",107.52,26.27
"黔西南布依族苗族自治州",105.2,25.56
"昆明市",102.72,25.05
"曲靖市",103.8,25.5
"玉溪市",102.55,24.35
"保山市",99.17,25.12
"昭通市",103.72,27.33
"丽江市",100.23,26.88
"临沧市",100.08,23.88
"楚雄彝族自治州",101.55,25.03
"红河哈尼族彝族自治州",103.4,23.37
"文山壮族苗族自治州",104.25,23.37
"西双版纳傣族自治州",100.8,22.02
"大理白族自治州",100.23,25.6
"德宏傣族景颇族自治州",98.58,24.43
"怒江傈僳族自治州",98.85,25.85
"迪庆藏族自治州",99.7,27.83
"普洱市",100.58,22.46
"拉萨市",91.13,29.65
"昌都市",97.18,31.13
"山南市",91.77,29.23
"日喀则市",88.88,29.27
"那曲市",92.07,31.48
"阿里地区",80.1,32.5
"林芝市",94.37,29.68
"西安市",108.93,34.27
"铜川市",108.93,34.9
"宝鸡市",107.13,34.37
"咸阳市",108.7,34.33
"渭南市",109.5,34.5
"延安市",109.48,36.6
"汉中市",107.02,33.07
"榆林市",109.73,38.28
"安康市",109.02,32.68
"商洛市",109.93,33.87
"兰州市",103.82,36.07
"嘉峪关市",98.27,39.8
"金昌市",102.18,38.5
"白银市",104.18,36.55
"天水市",105.72,34.58
"武威市",102.63,37.93
"张掖市",100.45,38.93
"平凉市",106.67,35.55
"酒泉市",98.52,39.75
"庆阳市",107.63,35.73
"定西市",104.62,35.58
"陇南市",104.92,33.4
"临夏回族自治州",103.22,35.6
"甘南藏族自治州",102.92,34.98
"西宁市",101.78,36.62
"海东市",102.12,36.5
"海北藏族自治州",100.9,36.97
"黄南藏族自治州",102.02,35.52
"海南藏族自治州",100.62,36.28
"果洛藏族自治州",100.23,34.48
"玉树藏族自治州",97.02,33
"海西蒙古族藏族自治州",97.37,37.37
"银川市",106.28,38.47
"石嘴山市",106.38,39.02
"吴忠市",106.2,37.98
"固原市",106.28,36
"中卫市",105.18,37.52
"乌鲁木齐市",87.62,43.82
"克拉玛依市",84.87,45.6
"吐鲁番市",89.17,42.956
"哈密市",93.52,42.83
"昌吉回族自治州",87.3,44.02
"博尔塔拉蒙古自治州",82.07,44.9
"巴音郭楞蒙古自治州",86.15,41.77
"阿克苏地区",80.27,41.17
"阿图什市",76.17,39.72
"喀什地区",75.98,39.47
"和田地区",79.92,37.12
"伊犁哈萨克自治州",81.32,43.92
"塔城地区",82.98,46.75
"阿勒泰地区",88.13,47.85
"石河子市",86.03,44.3
"克孜勒苏柯尔克孜自治州",75.26,40.41
"阿拉尔市",81.29,40.54
"图木舒克市",79.08,39.87
"五家渠市",87.53,44.17
"北屯市",87.82,47.35
"铁门关市",41.83,85.5
"双河市",91.13,29.66
"可克达拉市",80.37,44.7
"昆玉市",79.29,37.21
"胡杨河市",84.83,44.69
"新星市",93.45,42.48
"白杨市",82.48,46.41
